,Defect,Charge,Formation Energy (eV),Concentration (cm^-3),Charge State Population,Total Concentration (cm^-3),Fermi Level,Electrons (cm^-3),Holes (cm^-3),Annealing Temperature,Quenched Temperature
26,v_Te,0,1.787,0.11878877524379883,0.0%,3258516.2786778905,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
27,v_Te,-1,2.864,3.769157927300822e-19,0.0%,3258516.2786778905,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
28,v_Te,-2,3.498,4.227801935723887e-30,0.0%,3258516.2786778905,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
0,Cd_Te,2,1.859,14.683693665869917,99.4%,14.76750357271428,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
1,Cd_Te,1,2.056,0.08380955311922414,0.6%,14.76750357271428,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
2,Cd_Te,0,2.376,3.537251362258937e-07,0.0%,14.76750357271428,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
3,Cd_Te,-1,3.363,1.5556613132007997e-24,0.0%,14.76750357271428,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
4,Cd_Te,-2,4.382,1.4321802647230853e-40,0.0%,14.76750357271428,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
5,Cd_i_Td_Cd2.83,2,1.689,454.49962446138414,18.5%,2459.9967034699525,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
6,Cd_i_Td_Cd2.83,1,1.669,2005.4970724620352,81.5%,2459.9967034699525,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
7,Cd_i_Td_Cd2.83,0,2.156,6.546532874735441e-06,0.0%,2459.9967034699525,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
8,Cd_i_Td_Te2.83,2,1.206,2467779193.654856,100.0%,2467779211.314799,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
9,Cd_i_Td_Te2.83,1,1.709,17.65994242124525,0.0%,2467779211.314799,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
10,Cd_i_Td_Te2.83,0,2.471,1.3784043308639926e-12,0.0%,2467779211.314799,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
11,Te_Cd,2,5.38,2.5969434842698065e-52,0.0%,6.915762077949262e-28,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
12,Te_Cd,1,4.55,1.8502743054646907e-37,0.0%,6.915762077949262e-28,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
13,Te_Cd,0,3.962,6.915762075785511e-28,100.0%,6.915762077949262e-28,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
14,Te_Cd,-1,4.624,3.1347709491759095e-38,0.0%,6.915762077949262e-28,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
15,Te_Cd,-2,5.219,1.5766529931283077e-48,0.0%,6.915762077949262e-28,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
16,Te_i_Td_Te2.83,2,4.544,8.272656663381302e-41,0.0%,1.5456532168898435e-16,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
17,Te_i_Td_Te2.83,1,3.714,7.188113871536091e-27,0.0%,1.5456532168898435e-16,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
18,Te_i_Td_Te2.83,0,3.099,1.5456532168179622e-16,100.0%,1.5456532168898435e-16,0.8647080147442225,4975078605.942939,2114175.6999281165,400.0,300.0
